year,sport,event,event_gender,noc,country,medal,award_count
2020,Gymnastics,All-Around,Women,RUS,Russia,BRONZE,1
2020,Swimming,100m Freestyle,Men,USA,United States,GOLD,1
2020,Swimming,100m Freestyle,Men,AUS,Australia,SILVER,1
2020,Swimming,100m Freestyle,Men,FRA,France,BRONZE,1
2020,Swimming,100m Freestyle,Women,AUS,Australia,GOLD,1
2020,Swimming,100m Freestyle,Women,HKG,Hong Kong,SILVER,1
2020,Swimming,100m Freestyle,Women,AUS,Australia,BRONZE,1
2022,Alpine Skiing,Downhill,Men,SUI,Switzerland,GOLD,1
2022,Alpine Skiing,Downhill,Men,FRA,France,SILVER,1
2022,Alpine Skiing,Downhill,Men,AUT,Austria,BRONZE,1
2022,Alpine Skiing,Downhill,Women,SUI,Switzerland,GOLD,1
2022,Alpine Skiing,Downhill,Women,ITA,Italy,SILVER,1
2022,Alpine Skiing,Downhill,Women,AUT,Austria,BRONZE,1
2022,Figure Skating,Men's Singles,Men,USA,United States,GOLD,1
2022,Figure Skating,Men's Singles,Men,JPN,Japan,SILVER,1
2022,Figure Skating,Men's Singles,Men,JPN,Japan,BRONZE,1
2022,Figure Skating,Women's Singles,Women,RUS,Russia,GOLD,1
2022,Figure Skating,Women's Singles,Women,JPN,Japan,SILVER,1
2022,Figure Skating,Women's Singles,Women,BEL,Belgium,BRONZE,1
2022,Ice Hockey,Men's Tournament,Men,FIN,Finland,GOLD,1
2022,Ice Hockey,Men's Tournament,Men,ROC,Russia,SILVER,1
2022,Ice Hockey,Men's Tournament,Men,SVK,Slovakia,BRONZE,1
2022,Ice Hockey,Women's Tournament,Women,CAN,Canada,GOLD,1
2022,Ice Hockey,Women's Tournament,Women,USA,United States,SILVER,1
2022,Ice Hockey,Women's Tournament,Women,FIN,Finland,BRONZE,1
